Trddt	ivol_lag_rank	ivol_lag	v_weight_ilag	avg_return	v_weight_return	crate	crate_lag	v_weight_crate	v_weight_crate_lag	avg_totalv
201403	4	0.1300516598	0.1287122372	-0.04027016	-0.04257439	0.50932056	0.53463352	0.3996744997	0.470651722	8982421.8944
201404	0	0.030813606	0.026606497	-0.02983944	-0.025076826	0.21522112	0.21823588	0.2132714106	0.216927058	18107826.31
201404	1	0.0585024956	0.0574215422	-0.011397385	-0.016282463	0.2888406154	0.258591	0.1936259379	0.2116608199	7086498.3277
201404	2	0.0789470677	0.0793606728	-0.010607962	0.0063939551	0.2597346538	0.3053906538	0.2553220936	0.2635783505	6996592.5315
201404	3	0.1071020757	0.1042021847	-0.011355923	0.0009277322	0.3458716154	0.3937879615	0.3194302984	0.3434240238	10759815.78
201404	4	0.149482291	0.1454602372	-0.03039048	-0.004370967	0.4249812	0.63345276	0.3727016611	0.5167788637	8981279.1348
201405	0	0.0251503971	0.0222040838	0.012424	0.0088269628	0.15845532	0.16981644	0.1571531198	0.1639378223	19164583.592
201405	1	0.0511121052	0.0532072621	0.0198472308	0.0178670335	0.1926341538	0.2313719231	0.1983447545	0.2143715326	6209009.9492
201405	2	0.0683372407	0.0689658402	0.04286912	0.0526613767	0.22362384	0.27145728	0.2207649442	0.267176359	9111460.512
201405	3	0.089236076	0.0862160296	0.0106463846	0.0263136952	0.2126063077	0.3520686923	0.1886901176	0.2956150515	7380599.6185
201405	4	0.1263865193	0.1270104696	0.015655	-0.00075249	0.31922116	0.49259496	0.2880194721	0.4180212669	11507228.968
201406	0	0.0190270166	0.0159945138	0.0147704	0.0105613095	0.15857084	0.14229364	0.1528614964	0.1384030828	18194638.378
201406	1	0.0397848146	0.0400734232	0.0527307692	0.0390045338	0.2520191923	0.1600620769	0.1964685445	0.1381692525	7040580.5312
201406	2	0.0537476652	0.0535828915	0.05187228	0.0416215143	0.33074576	0.20787568	0.3133335938	0.2224498128	8796537.6892
201406	3	0.069592004	0.068525607	0.0386723077	0.0606026787	0.3559963462	0.2729663462	0.3334274505	0.2558330211	9216143.2058
201406	4	0.1132178162	0.1142870895	-0.00825448	-0.013508864	0.34301692	0.35013956	0.3269013058	0.3407269933	10875345.314
201407	0	0.0182659945	0.0146286775	0.09936084	0.0865632177	0.3246784	0.18320944	0.2768144921	0.2198586604	16991119.267
201407	1	0.0359678735	0.0367829842	0.1084815385	0.0929343252	0.4747554615	0.1846987692	0.4227323734	0.1952030102	11690827.597
201407	2	0.052893842	0.0535979758	0.0938934	0.0746015444	0.41106476	0.20580104	0.3464240642	0.1897021867	10693538.681
201407	3	0.0730048602	0.0729511231	0.0603528846	0.0647204824	0.4148276538	0.2645064231	0.3424834894	0.2334473908	10174213.757
201407	4	0.1158802564	0.1162113601	0.02993688	0.0411188653	0.70844988	0.65729276	0.661238989	0.6194211439	8431754.5936
201408	0	0.0297200499	0.0267850199	0.03256704	0.0408871627	0.3830164	0.31644756	0.3721411871	0.3414726264	19559889.671
201408	1	0.0526906143	0.0538282789	0.0506698846	0.0524968998	0.4232602692	0.340208	0.3699867327	0.2848604926	7932992.1992
201408	2	0.0683526502	0.0675563554	0.0861031154	0.0985549073	0.5526449231	0.389939	0.5144899987	0.3337323883	11827384.224
201408	3	0.0867517967	0.0859850886	0.0576118846	0.0688538117	0.5215672692	0.4602037308	0.3921977082	0.3490553098	9735555.9104
201408	4	0.1395768671	0.1326958834	0.06088772	0.0472937269	0.76220568	0.87408168	0.6641815003	0.8065005216	9331690.792
201409	0	0.0250466102	0.0221380172	0.10348344	0.0969212506	0.43887864	0.35730176	0.4345755082	0.372696125	22906224.124
201409	1	0.0498449618	0.0509484599	0.1209869615	0.1167743772	0.5491481154	0.408258	0.4684359897	0.3651144003	9808230.9069
201409	2	0.0677708602	0.0674343107	0.1061994231	0.1271310127	0.5530851923	0.4454659231	0.4301031201	0.3469442702	8219053.8877
201409	3	0.0911804907	0.0910910145	0.1034051923	0.1146313435	0.6667265385	0.5835125769	0.6506397642	0.5009910369	11453953.74
201409	4	0.1412906453	0.1433912313	0.1214272692	0.1007436418	0.7346763462	0.8101798846	0.6424170203	0.7389669943	14910540.86
201410	0	0.0254507487	0.0220242603	0.0265449167	0.0333193816	0.3511581667	0.3618482083	0.3673584235	0.3644459649	20768373.672
201410	1	0.0493808756	0.0477008005	0.0179926	0.031124897	0.432446	0.52738884	0.4029994108	0.4672471031	14069049.768
201410	2	0.0655062155	0.0668723986	0.02253468	0.0011328275	0.50301732	0.58098828	0.4303771541	0.5348282862	10862194.646
201410	3	0.083583606	0.0845287638	0.00538612	0.0083563775	0.4366902	0.54074544	0.3632406595	0.4663961251	13508330.984
201410	4	0.1320105264	0.1321236102	0.01674684	0.0204475596	0.50180672	0.9102534	0.4981362149	0.8573662198	11509000.103
201411	0	0.0289330253	0.0271488772	0.11305372	0.1129420666	0.63276272	0.4351102	0.6291782335	0.4758383558	18108401.494
201411	1	0.0508891114	0.0509230363	0.05544584	0.0538775165	0.54196936	0.4141944	0.5219493443	0.3902065907	10585199.49
201411	2	0.0656033397	0.0648792329	0.0429286154	0.0705233226	0.5113542692	0.4307906923	0.5015852915	0.3784629665	13309527.355
201411	3	0.0837499882	0.0832642415	0.1106322	0.1641016172	0.5681388	0.44995548	0.5623940614	0.4417347865	11355777.907
201411	4	0.1219843227	0.1206005148	0.04938412	0.0379010002	0.5982984	0.59168152	0.4433041023	0.4668146847	11813634.983
201412	0	0.0378315758	0.0363584026	0.10565572	0.1994323343	0.91903444	0.70811388	1.0342575034	0.8621758889	28451978.471
201412	1	0.066222876	0.0659467974	0.0259844615	0.0646299699	0.6944218846	0.3967706923	0.6753884609	0.3484835214	14597416.72
201412	2	0.081669396	0.0814683507	0.0225569231	0.0536375546	0.7290321923	0.4631319231	0.7354052661	0.4324942076	12885961.47
201412	3	0.0988843525	0.1002355562	0.0042511154	0.0352541886	0.9235868077	0.639392	0.9767996366	0.6503261632	12603947.545
201412	4	0.1463343624	0.1426338101	0.05757304	0.1857772384	1.07528024	0.83093096	1.0899187027	0.7346990316	18130411.748
